X,Y,OBJECTID,NAME,ALIAS1,ALIAS2,JURISDICTION,ADDRESS,Address2,URL,PHONE,ARTSCENTER,BALLFIELDS,BOATRENTAL,CANOE,DISCGOLF,DOGPARK,ENVCTR,FISHING,GREENWAYACCESS,GYM,MULTIPURPOSEFIELD,OUTDOORBASKETBALL,PICNICSHELTER,PLAYGROUND,POOL,COMMUNITYCENTER,NEIGHBORHOODCENTER,TENNISCOURTS,TRACK,WALKINGTRAILS,RESTROOMS,Lat,Lon,Notes,AMUSEMENTTRAIN,CAROUSEL,TENNISCENTER,THEATER,BOCCE,HANDBALL,HORSESHOE,INLINESKATING,SANDVOLLEYBALL,SKATEPARK,ACTIVE_ADULT,BMXTRACK,BOATRIDE,LIBRARY,MUSEUM,TEEN,BIKING,LIVEANIMALS,GARDENS,EQUESTRIAN,FORLOCATOR
2015764.623414143919945,714932.970260471105576,13,American Tobacco Trail - New Hill Entrance,,,Wake County,"1309 New Hill-Olive Chapel Road, Apex, NC 27502","1309 New Hill-Olive Chapel Road, Apex, NC 27502",http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,35.714336,-78.946984,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes
2022818.438702806830406,741099.206313729286194,18,American Tobacco Trail - White Oak Entrance,,,Wake County,"1305 White Oak Church Road, Apex, NC 27523",,http://www.wakegov.com/parks/att/Pages/default.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes
2023461.515500634908676,731845.323902890086174,19,American Tobacco Trail - Wimberly Rd Entrance,,,Wake County,"1017 Wimberly Road, Apex, NC 27502","1017 Wimberly Road, Apex, NC 27502",http://www.wakegov.com/parks/att/Pages/directions.aspx,919-387-2117,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,35.760054,-78.920102,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes
2105185.336632713675499,807300.101470723748207,74,Blue Jay Point County Park,,,Wake County,"3200 Pleasant Union Church Road, Raleigh, NC 27614","3200 Pleasant Union Church Road, Raleigh, NC 27614",http://www.wakegov.com/parks/bluejay/Pages/default.aspx,919-870-4330,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.968917,-78.64275,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
2069524.835447296500206,706771.872737556695938,151,Crowder County Park,,,Wake County,4709 Ten Ten Road,"Apex, NC 27539",http://www.wakegov.com/parks/crowder/Pages/default.aspx,919-662-2850,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
2123259.267676383256912,784628.848584979772568,282,Green Hills County Park,,,Wake County,"9300 Deponie Dr., Raleigh, NC  27614","9300 Deponie Dr., Raleigh, NC  27614",http://www.wakegov.com/parks/northwake/Pages/default.aspx,919-856-6670,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.904872,-78.584153,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
2024492.37958063185215,684314.595801815390587,319,Harris Lake County Park,,,Wake County,"2112 County Park Dr., New Hill, NC  27562","2112 County Park Dr., New Hill, NC  27562",http://www.wakegov.com/parks/harrislake/Pages/default.aspx,919-387-4342,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.631378,-78.921194,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
2127369.524875804781914,735377.258440062403679,334,Historic Oak View County Park,,,Wake County,"4028 Carya Dr., Raleigh, NC  27610","4028 Carya Dr., Raleigh, NC  27610",http://www.wakegov.com/parks/oakview/Pages/default.aspx,919-250-1013,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,35.770019,-78.569734,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes
2093421.647561714053154,717694.717361643910408,335,Historic Yates Mill County Park,,,Wake County,"4620 Lake Wheeler Rd., Raleigh, NC  27603","4620 Lake Wheeler Rd., Raleigh, NC  27603",http://www.wakegov.com/parks/yatesmill/Pages/default.aspx,919-856-6675,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,35.718682,-78.686134,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes
2058962.927765384316444,762751.45730048418045,443,Lake Crabtree County Park,,,Wake County,"1400 Aviation Pkwy., Morrisville, NC  27560","1400 Aviation Pkwy., Morrisville, NC  27560",http://www.wakegov.com/parks/lakecrabtree/Pages/default.aspx,919-460-3390,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,35.843908,-78.795222,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
2174219.000074297189713,752764.68757589161396,672,Robertson Millpond Preserve,,,Wake County,"6333 Robertson Pond Road, Wendell, NC 27591",,http://www.wakegov.com/parks/robertsonmillpond/Pages/default.aspx,NA,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
2176780.596985220909119,726727.865633890032768,794,Turnipseed Nature Preserve,Hunt Valley Entrance,,Wake County,7100 Hunt Valley Trail,"Wendell, NC 27591",http://www.wakegov.com/parks/turnipseed/Pages/default.aspx,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
